CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
11 DE SEPTIEMBRE DE 1888;1700;85;95000;1117.6;3;20;CONTRAFRENTE;;;;;;BELGRANO;13;-58.447000600094484;-34.56337570114809
11 DE SEPTIEMBRE DE 1888;2100;105;85000;809.5;3;0;FRENTE;;;;;PATIO TERRAZA;BELGRANO;13;-58.451979375659569;-34.557837033156112
11 DE SEPTIEMBRE DE 1888;2100;43;35000;814.0;3;34;LATERAL;;;;;;BELGRANO;13;-58.451979375659569;-34.557837033156112
11 DE SEPTIEMBRE DE 1888;2100;75;75000;1000.0;3;50;FRENTE;SI;;;;;BELGRANO;13;-58.451979375659569;-34.557837033156112
11 DE SEPTIEMBRE DE 1888;2140;47;39900;848.9;3;0;FRENTE;;;;;;BELGRANO;13;-58.451534339718521;-34.558117233074235
11 DE SEPTIEMBRE DE 1888;2800;65;64900;998.5;3;20;FRENTE;;;;;;BELGRANO;13;-58.455659710228169;-34.553129401886096
11 DE SEPTIEMBRE DE 1888;2800;52;44000;846.2;3;28;FRENTE;;;;;;BELGRANO;13;-58.455659710228169;-34.553129401886096
11 DE SEPTIEMBRE DE 1888;2802;50;54900;1098.0;3;0;FRENTE;;;;;;NUÑEZ;13;-58.457136021164672;-34.551182019245125
11 DE SEPTIEMBRE DE 1888;2871;61;46000;754.1;3;0;;;;;;;NUÑEZ;13;-58.456868628275842;-34.552069363031521
11 DE SEPTIEMBRE DE 1888;3700;62;68500;1104.8;3;3;FRENTE;;;;;;NUÑEZ;13;-58.461289707171716;-34.545493376788336
11 DE SEPTIEMBRE DE 1888;3900;74;93000;1256.8;3;A ESTRENAR;FRENTE;;;;;;NUÑEZ;13;-58.4624612473337;-34.5438935489207
14 DE JULIO;1400;60;58000;966.7;3;19;CONTRAFRENTE;SI;;;;;VILLA ORTUZAR;15;-58.462452839239084;-34.577272323313643
14 DE JULIO;1485;60;58000;966.7;3;18;CONTRAFRENTE;SI;;;;;VILLA ORTUZAR;15;-58.463573755542704;-34.576467166553392
15 DE NOVIEMBRE DE 1889;2300;46;36000;782.6;3;25;FRENTE;;;;;;PARQUE PATRICIOS;4;-58.395543571121941;-34.632873019376319
24 DE NOVIEMBRE;1200;54;43000;796.3;3;A ESTRENAR;CONTRAFRENTE;;SI;;;;SAN CRISTOBAL;3;-58.410635454197433;-34.623755973659662
3 DE FEBRERO;1000;98;99000;1010.2;3;0;;;;;;;PALERMO;14;-58.443065135196051;-34.569417731542039
3 DE FEBRERO;1100;69;72000;1043.5;3;60;FRENTE;;;;;;PALERMO;14;-58.443810736371098;-34.568860054500597
3 DE FEBRERO;2800;57;55000;964.9;3;28;CONTRAFRENTE;;;;;;BELGRANO;13;-58.457706756475091;-34.552998243119063
3 DE FEBRERO;3600;59;59000;1000.0;3;23;FRENTE;SI;SI;;;;NUÑEZ;13;-58.462497132699525;-34.546127239980976
ACEVEDO;100;35;35000;1000.0;1;6;CONTRAFRENTE;;;;;;VILLA CRESPO;15;-58.443931035000858;-34.600541867874263
ACEVEDO;100;50;38500;770.0;3;30;FRENTE;;;;;;VILLA CRESPO;15;-58.443931035000858;-34.600541867874263
ACEVEDO;100;55;45000;818.2;3;35;CONTRAFRENTE;;;;;;VILLA CRESPO;15;-58.443931035000858;-34.600541867874263
ACEVEDO;100;88;63500;721.6;3;38;FRENTE;;;;;;VILLA CRESPO;15;-58.443931035000858;-34.600541867874263
ACEVEDO;100;52;32000;615.4;3;46;INTERNO;;;;;;VILLA CRESPO;15;-58.443931035000858;-34.600541867874263
ACEVEDO;200;54;40000;740.7;3;25;CONTRAFRENTE;;;;;;VILLA CRESPO;15;-58.442919064761263;-34.599714547559799
ACEVEDO;200;78;46000;589.7;3;25;CONTRAFRENTE;;;;;;VILLA CRESPO;15;-58.442919064761263;-34.599714547559799
ACEVEDO;300;76;72000;947.4;3;28;FRENTE;;;;;;VILLA CRESPO;15;-58.441885858340314;-34.598873393104967
ACEVEDO;300;42;34900;831.0;1;29;FRENTE;;;;;;VILLA CRESPO;15;-58.441885858340314;-34.598873393104967
ACEVEDO;400;85;78000;917.6;3;5;FRENTE;;SI;;;;VILLA CRESPO;15;-58.440830498100247;-34.59803451706464
ACEVEDO;400;85;69000;811.8;3;58;FRENTE;;;;;;VILLA CRESPO;15;-58.440830498100247;-34.59803451706464
ACEVEDO;500;48;39000;812.5;3;29;CONTRAFRENTE;;;;;;VILLA CRESPO;15;-58.439487006390863;-34.597170329463687
ACEVEDO;500;50;38000;760.0;3;35;FRENTE;;;;;;VILLA CRESPO;15;-58.439487006390863;-34.597170329463687
ACEVEDO;600;52;43500;836.5;3;28;FRENTE;;;;;;VILLA CRESPO;15;-58.438476450897817;-34.596523871841441
ACEVEDO;600;80;85000;1062.5;3;40;FRENTE;;;;;;VILLA CRESPO;15;-58.438476450897817;-34.596523871841441
ACEVEDO;800;38;35000;921.1;3;35;FRENTE;;;;;;VILLA CRESPO;15;-58.436301389444807;-34.595132750092638
ACEVEDO;900;55;50000;909.1;3;25;FRENTE;;SI;;;;VILLA CRESPO;15;-58.435244567188406;-34.594457986250184
ACEVEDO;1000;78;58000;743.6;3;0;FRENTE;SI;;;;;VILLA CRESPO;15;-58.434168759233764;-34.593771015666569
ACEVEDO, EDUARDO;500;52;47200;907.7;3;50;CONTRAFRENTE;;;;;;CABALLITO;6;-58.432404814704469;-34.610288548168064
ACHA, MARIANO, Gral.;2200;27;31500;1166.7;1;25;FRENTE;SI;;;;;VILLA URQUIZA;12;-58.476921411295223;-34.572678584493808
ACHA, MARIANO, Gral.;2200;55;38900;707.3;3;25;FRENTE;;;;;;VILLA URQUIZA;12;-58.476921411295223;-34.572678584493808
ACHA, MARIANO, Gral.;2700;70;45000;642.9;3;15;FRENTE;;;;;;VILLA URQUIZA;12;-58.480865973085258;-34.568229684916162
ACHA, MARIANO, Gral.;3900;46;33500;728.3;3;30;CONTRAFRENTE;;;;;;SAAVEDRA;12;-58.490084528338301;-34.556931773682116
ACHEGA;3100;60;44500;741.7;3;20;FRENTE;;SI;;;;VILLA URQUIZA;12;-58.50047825623647;-34.573835501407977
ACOSTA, MARIANO;3400;64;25000;390.6;3;25;FRENTE;;;;;;VILLA SOLDATI;8;-58.444677356766341;-34.663612173414272
ACOSTA, MARIANO;3500;50;7000;140.0;3;30;LATERAL;;;;;;VILLA SOLDATI;8;-58.443046973413502;-34.664915697578316
ACOYTE;50;30;36000;1200.0;1;25;LATERAL;;;;;;CABALLITO;6;-58.436916840702033;-34.617755060981771
ACOYTE;100;70;60000;857.1;3;50;LATERAL;;;;;;CABALLITO;6;-58.437222892947339;-34.617163129226817
ACOYTE;100;94;68000;723.4;3;60;FRENTE;;;;;;CABALLITO;6;-58.437222892947339;-34.617163129226817
ACOYTE;143;76;52000;684.2;3;0;;;;;;;CABALLITO;6;-58.437137535768564;-34.616640160071405
ACOYTE;600;52;49900;959.6;3;4;LATERAL;;;;;;CABALLITO;6;-58.439003195171907;-34.611854473581367
ACOYTE;600;64;69000;1078.1;3;4;LATERAL;;SI;;;;CABALLITO;6;-58.439003195171907;-34.611854473581367
ACOYTE;700;92;60000;652.2;3;40;CONTRAFRENTE;;;;;;CABALLITO;6;-58.439454011041505;-34.610846656743192
ACOYTE;800;64;52500;820.3;3;28;FRENTE;;;;;;CABALLITO;6;-58.440254088961083;-34.608891357702639
ACOYTE;800;85;85000;1000.0;3;A ESTRENAR;FRENTE;;;;;;CABALLITO;6;-58.440254088961083;-34.608891357702639
ACOYTE;900;68;69000;1014.7;3;5;FRENTE;;SI;;;;CABALLITO;6;-58.440278230611355;-34.607767690006568
ACOYTE;900;55;57000;1036.4;3;7;CONTRAFRENTE;;;;;;CABALLITO;6;-58.440278230611355;-34.607767690006568
ACOYTE;917;40;32000;800.0;3;28;LATERAL;;;;;;CABALLITO;6;-58.439953789966843;-34.607513597023299
ACOYTE;1000;58;36000;620.7;3;45;FRENTE;;;;;;CABALLITO;6;-58.44029541889887;-34.606510772416492
ACOYTE;1300;46;37500;815.2;3;50;FRENTE;;;;;;VILLA CRESPO;15;-58.441975469754517;-34.60447460691627
ACUÑA DE FIGUEROA, FRANCISCO;900;50;48000;960.0;3;30;FRENTE;;;;;;ALMAGRO;5;-58.422214865837041;-34.601739159729888
ACUÑA DE FIGUEROA, FRANCISCO;1200;27;31000;1148.1;1;25;FRENTE;;;;;;ALMAGRO;5;-58.421699691043941;-34.598220696001476
ACUÑA DE FIGUEROA, FRANCISCO;1200;74;53500;723.0;3;40;CONTRAFRENTE;;;;;;ALMAGRO;5;-58.421699691043941;-34.598220696001476
ACUÑA DE FIGUEROA, FRANCISCO;1300;51;48500;951.0;3;24;FRENTE;;;;;;PALERMO;14;-58.421609689766044;-34.597724567128083
ACUÑA DE FIGUEROA, FRANCISCO;1400;34;26700;785.3;1;40;CONTRAFRENTE;;;;;;PALERMO;14;-58.421348114190515;-34.596427201349933
AGRELO;3300;37;42000;1135.1;1;0;FRENTE;;;;;;BALVANERA;3;-58.412619380670598;-34.618197756080257
AGUARIBAY;6700;82;52000;634.1;3;A ESTRENAR;FRENTE;;SI;;;;VERSALLES;10;-58.525835455789114;-34.632922108806163
AGUERO;900;44;42000;954.5;3;35;FRENTE;;;;;;BALVANERA;3;-58.410701522182265;-34.600551322205675
AGUERO;1200;73;75000;1027.4;3;30;INTERNO;SI;;;;;RECOLETA;2;-58.410070706138939;-34.596979448045886
AGUERO;1200;79;81000;1025.3;3;35;CONTRAFRENTE;SI;SI;;;;RECOLETA;2;-58.410070706138939;-34.596979448045886
AGUERO;1300;69;75000;1087.0;3;25;CONTRAFRENTE;;;;;;RECOLETA;2;-58.409457599122099;-34.595683330288857
AGUERO;1471;77;68500;889.6;3;50;CONTRAFRENTE;SI;;;;;RECOLETA;2;-58.408358542767651;-34.592832352352893
AGUERO;1500;77;68500;889.6;3;0;CONTRAFRENTE;;;;;;RECOLETA;2;-58.40822785930181;-34.59314741949774
AGUERO;1600;37;62100;1678.4;1;0;FRENTE;;;;;;RECOLETA;2;-58.407726096977413;-34.592562450400969
AGUERO;1600;81;83500;1030.9;3;0;CONTRAFRENTE;;;;;;RECOLETA;2;-58.407726096977413;-34.592562450400969
AGUERO;1650;17;23000;1352.9;1;0;INTERNO;;;;;;RECOLETA;2;-58.40653197138176;-34.591380041760232
AGUERO;1700;101;78000;772.3;3;25;FRENTE;;;;;;RECOLETA;2;-58.407007306913236;-34.591756353707389
AGUERO;1700;60;66000;1100.0;3;0;CONTRAFRENTE;;;;;;RECOLETA;2;-58.407007306913236;-34.591756353707389
AGUERO;1900;50;49500;990.0;3;40;FRENTE;;;;;;RECOLETA;2;-58.405219689396546;-34.59041114487902
AGUERO;2100;84;91500;1089.3;3;20;FRENTE;SI;;;;;RECOLETA;2;-58.402906243612534;-34.588710497185112
AGUERO;2100;47;53000;1127.7;1;60;FRENTE;;;;;;RECOLETA;2;-58.402906243612534;-34.588710497185112
AGUERO;2190;80;91500;1143.8;3;0;;;;;;;RECOLETA;2;-58.40173849253889;-34.587847031826705
AGUERO;2200;24;36000;1500.0;1;30;LATERAL;;;;;;RECOLETA;2;-58.401867526773984;-34.587944955231904
AGUERO;2200;18;29000;1611.1;1;35;CONTRAFRENTE;;;;;;RECOLETA;2;-58.401867526773984;-34.587944955231904
AGUERO;2300;75;72000;960.0;3;30;CONTRAFRENTE;;;;;;RECOLETA;2;-58.400833569979973;-34.587143272967594
AGUILAR;2224;66;60000;909.1;3;0;;;;;;;PALERMO;14;-58.446554186690868;-34.568098006284821
AGUILAR;2400;45;48500;1077.8;3;25;CONTRAFRENTE;;;;;;PALERMO;14;-58.446651235593208;-34.5682089037049
AGUILAR;2400;85;89000;1047.1;3;A ESTRENAR;FRENTE;;;;;;PALERMO;14;-58.446651235593208;-34.5682089037049
AGUILAR;2500;57;56500;991.2;3;35;LATERAL;;;;;;COLEGIALES;13;-58.447204159198698;-34.568840646372514
AGUILAR;2579;72;68500;951.4;3;0;CONTRAFRENTE;;;;;;COLEGIALES;13;-58.448232792466712;-34.57047709499458
AGUIRRE;100;57;42000;736.8;3;50;FRENTE;;;;;;VILLA CRESPO;15;-58.432617004589929;-34.60112290166412
AGUIRRE;300;67;56000;835.8;3;28;FRENTE;;;;;;VILLA CRESPO;15;-58.434181628753613;-34.599450762559442
AGUIRRE;390;76;58000;763.2;3;28;FRENTE;;;;;;VILLA CRESPO;15;-58.434890139977348;-34.598693615195465
AGUIRRE;700;62;42500;685.5;3;25;FRENTE;;;;;;VILLA CRESPO;15;-58.437399304204227;-34.596012117326403
AGUIRRE;900;46;58000;1260.9;3;9;FRENTE;;;;;;VILLA CRESPO;15;-58.439025556779207;-34.594277324770005
AIZPURUA;2700;62;45000;725.8;3;A ESTRENAR;FRENTE;SI;;;;;VILLA URQUIZA;12;-58.495827496416538;-34.577209819907011
ALBERDI, JUAN BAUTISTA;100;108;90000;833.3;3;14;FRENTE;;;;;;CABALLITO;6;-58.429131694047875;-34.622425323400741
ALBERDI, JUAN BAUTISTA;100;36;35000;972.2;1;25;FRENTE;;;;;;CABALLITO;6;-58.429131694047875;-34.622425323400741
ALBERDI, JUAN BAUTISTA;100;50;39000;780.0;3;35;CONTRAFRENTE;;;;;;CABALLITO;6;-58.429131694047875;-34.622425323400741
ALBERDI, JUAN BAUTISTA;200;23;30000;1304.3;1;25;FRENTE;;;;;;CABALLITO;6;-58.430689401393401;-34.622671890010167
ALBERDI, JUAN BAUTISTA;200;77;72000;935.1;3;0;FRENTE;;;;;;CABALLITO;6;-58.430689401393401;-34.622671890010167
